ORF Length,GC Content,Transcript Length,CpG Island,Ficket score,coding=1
405,59,1409,58,0,0
225,73,975,101,1,0
210,52,471,11,1,0
243,34,5864,32,1,0
213,39,3539,10,0,0
48,38,506,2,0,0
120,48,583,5,1,0
432,64,1297,54,2,0
147,43,795,2,1,0
84,48,478,14,1,0
714,60,849,39,1,1
180,40,546,1,1,0
282,40,1459,6,1,0
264,52,1595,45,1,0
228,49,1535,30,1,0
96,38,512,4,1,0
168,47,544,13,1,0
165,41,2034,17,1,0
294,52,2044,71,0,0
93,45,496,2,0,0
282,40,2234,36,0,0
396,33,5985,31,0,0
252,53,1432,25,0,0
168,59,826,31,1,0
1020,47,2841,74,0,1
147,54,836,23,1,0
162,51,1766,99,0,0
138,53,966,15,0,0
135,42,526,4,1,0
84,71,234,26,0,0
126,59,472,30,1,0
87,31,457,6,0,0
159,42,885,5,1,0
255,43,2804,35,0,0
144,44,620,5,1,0
141,43,498,11,1,0
1128,62,1578,101,1,1
108,42,411,2,1,0
234,48,1148,15,0,0
258,39,3443,39,0,0
174,59,836,58,1,0
141,42,677,9,0,0
123,38,436,1,1,0
180,52,575,10,0,0
177,38,1368,12,1,0
372,42,1288,16,1,0
129,58,607,34,0,0
159,47,713,3,1,0
513,67,903,81,1,1
195,44,418,3,0,0
102,44,735,7,1,0
231,46,982,25,0,0
129,38,485,3,1,0
318,49,1362,37,0,0
195,58,707,29,1,0
153,43,1430,12,0,0
468,49,1356,43,0,0
207,45,1300,4,1,0
351,52,762,11,1,0
441,61,4152,134,1,0
102,63,593,51,0,0
153,38,821,7,1,0
123,47,518,17,2,0
249,53,1112,18,1,0
186,48,625,13,2,0
258,42,2143,23,1,0
789,54,1394,29,1,0
201,46,3099,50,1,0
81,42,1747,32,0,0
363,55,693,20,1,0
513,61,886,56,1,1
591,58,1632,62,0,0
363,48,2045,53,1,0
150,50,700,9,0,0
240,56,1423,68,1,0
171,42,1137,8,1,0
198,50,456,5,1,0
105,41,684,7,2,0
168,49,599,20,1,0
522,61,1976,57,1,1
297,52,468,21,1,0
243,60,326,11,1,0
219,39,1262,8,0,0
159,40,629,2,0,0
168,46,426,5,1,0
144,50,1264,32,1,0
75,34,683,6,1,0
213,53,777,14,1,0
192,50,726,23,1,0
168,41,2362,32,0,0
210,58,449,14,1,0
276,57,817,42,0,0
159,39,607,8,1,0
204,53,460,22,1,0
174,58,546,32,1,0
168,48,388,3,1,0
189,47,830,12,1,0
189,43,456,2,1,0
375,51,669,8,1,0
153,38,997,5,1,0
153,49,869,14,0,0
225,50,848,15,1,0
60,47,439,2,1,0
237,52,2560,48,1,0
111,47,555,4,1,0
186,46,524,12,1,0
141,47,389,8,0,0
207,48,1426,9,1,0
318,42,1698,16,0,0
414,43,1309,16,0,0
282,42,2467,49,0,0
396,58,1056,60,1,0
183,37,1416,13,1,0
318,45,2329,61,0,0
279,47,1229,34,0,0
87,42,716,7,1,0
354,57,1629,55,1,0
123,46,1110,23,0,0
174,46,826,12,1,0
240,49,2240,36,1,0
492,41,3612,87,1,0
234,50,358,4,0,0
126,57,303,26,1,0
345,47,5777,73,0,0
99,43,597,2,0,0
195,41,1104,7,1,0
258,52,571,11,1,0
228,52,2523,48,1,0
219,52,1149,42,0,0
99,43,645,4,1,0
2370,66,2495,124,1,1
150,48,693,4,1,0
738,53,2292,92,1,0
168,62,580,29,1,0
237,43,1454,14,1,0
417,61,1676,81,1,0
57,52,522,20,1,0
168,39,805,7,1,0
360,62,1018,42,0,0
63,59,670,51,1,0
426,44,1589,13,1,0
159,55,1876,53,1,0
195,46,1438,20,1,0
204,52,2125,37,1,0
309,53,2694,70,0,0
204,36,3554,20,0,0
459,54,4176,142,0,1
579,40,6440,104,0,0
21,42,152,1,2,0
318,37,812,4,1,0
234,51,494,11,1,0
